Location,Rock,Wall,Route,Pitch,,Grade,Aid,Page,Guidebook,Stars,Ascent,Pitches,Comments
Beacon Rock,,South Face,Jill's Thrill,,5.,9,,178,PRCs,«««,Trad,4,"Gear to 2"""
Beacon Rock,,South Face,Free for All,,5.,8,,190,PRCs,«««,Trad,,"Gear to 2"""
Broughton Bluff,,North Face,Traffic Court,,5.,9,,16,PRCs,««,Mixed,,
Broughton Bluff,,Hanging Gardens,Loose Block Overhang,,5.,9,,20,PRCs,«««,Trad,3,
Broughton Bluff,,Jungle Cliff,Gorilla Love Affair,,5.,10d,,46,PRCs,«««,Sport,,
Broughton Bluff,,New Frontier Cliff,Alma Mater,,5.,10d,,47,PRCs,«««,Sport,,
Bulo Point,,Main Area,Drawin' a Blank,,5.,12a,,78,RCO,««,Sport,,
Bulo Point,,Northeast Section,Scene of the Crime,,5.,10b,,87,RCO,«««,Sport,,
Callahans,Mind Planet,The Near Side,Eclectic Classic,,5.,10c,,166,WR,«««,Sport,,
Callahans,Mind Planet,The Far Side,Animals With a Life,,5.,9,,169,WR,«««,Sport,,
Callahans,Mind Planet,The Far Side,Absurd Life,,5.,10a,,170,WR,««,Sport,,
Callahans,Mind Planet,The Far Side,Animals That Talk,,5.,10b,,170,WR,«««,Sport,,
Callahans,Delusion Formation,,Martians and Tin Foil,,5.,10b,,170,WR,«««,Sport,,
Frenches Dome,,,China Man,,5.,11b,,202,PRCs,«««,Sport,,
Leavenworth,Tumwater Canyon,Castle Rock,Midway,,5.,6,,,,,Trad,2,"Pro to 2"""
Ozone,,Old Tree Area,Trinity Crack,,5.,9,,136,PRCs,««,Mixed,,"Gear to 3"" and bolts"
Ozone,,Heaven's Wall,Jacob's Ladder,,5.,9,,140,PRCs,«««,Mixed,,
Ozone,,Heaven's Wall,Rolling Thunder,,5.,10d,,140,PRCs,«,Sport,,
Ozone,,Heaven's Wall,Love Supreme,,5.,10a,,142,PRCs,«««,Mixed,2,"Gear to 2"" and bolts"
Smith Rock,,Shipwreck Wall,Blue Light Special,,5.,11b,,77,Smith,««««,Sport,,
Smith Rock,,Shipwreck Wall,More Sandy Than Kevin,,5.,11a,,77,Smith,«««,Sport,,
Smith Rock,,Table Scraps Wall,Fish 'n Chips,,5.,10c,,80,Smith,«««,Sport,,
Smith Rock,,Table Scraps Wall,The Skipper's Little Buddy,,5.,10d,,81,Smith,«««,Sport,,
